UID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1A12DE758,2017 W18,,,,,,,,,,,,,
1A12DE759,2016 W13,2016 W16,2016 W17,2016 W19,,,,,,,,,,
1A12DE760,2017 W12,,,,,,,,,,,,,
1A12DE10,2016 W23,2017 W14,,,,,,,,,,,,
1A12DE100,2017 W15,,,,,,,,,,,,,
1A12DE101,2016 W15,2016 W16,2016 W18,2016 W20,2017 W16,,,,,,,,,
1A12DE102,2016 W46,2017 W13,,,,,,,,,,,,
1A12DE103,2016 W17,2016 W44,2017 W15,,,,,,,,,,,
1A12DE105,2016 W44,2017 W13,,,,,,,,,,,,
1A12DE106,2016 W16,2016 W17,2016 W18,2016 W19,2016 W44,2016 W45,2016 W46,2017 W19,,,,,,
1A12DE107,2016 W14,2016 W15,2016 W17,2016 W41,2017 W11,,,,,,,,,
1A12DE108,2016 W18,2016 W41,2016 W42,2016 W43,2017 W17,,,,,,,,,
1A12DE109,2016 W17,2016 W20,2016 W23,,,,,,,,,,,
1A12DE11,2016 W43,2016 W45,,,,,,,,,,,,
1A12DE110,2016 W15,2016 W16,2016 W18,2016 W21,2016 W23,2016 W46,2016 W47,2017 W16,,,,,,
1A12DE111,2016 W16,2016 W17,2017 W14,,,,,,,,,,,
1A12DE112,2017 W13,2017 W19,,,,,,,,,,,,
1A12DE113,2017 W14,,,,,,,,,,,,,
1A12DE114,2017 W16,2017 W20,,,,,,,,,,,,
1A12DE115,2016 W15,2016 W41,2017 W11,,,,,,,,,,,
1A12DE116,2017 W14,,,,,,,,,,,,,
1A12DE117,2016 W19,2016 W24,2017 W16,,,,,,,,,,,
1A12DE118,2017 W16,,,,,,,,,,,,,
1A12DE119,2017 W11,,,,,,,,,,,,,
1A12DE12,2017 W11,,,,,,,,,,,,,
1A12DE120,2016 W46,2017 W14,,,,,,,,,,,,
1A12DE121,2016 W42,2016 W47,2017 W13,2017 W14,,,,,,,,,,
1A12DE122,2016 W44,2017 W13,,,,,,,,,,,,
1A12DE123,2016 W13,2016 W14,2016 W15,2016 W16,2016 W18,2016 W19,2017 W13,,,,,,,
1A12DE124,2016 W15,2016 W16,2016 W17,2016 W18,2016 W19,2016 W20,2016 W46,,,,,,,
1A12DE125,2016 W44,2017 W12,,,,,,,,,,,,
1A12DE126,2016 W17,2017 W18,,,,,,,,,,,,
1A12DE127,2016 W43,2016 W44,2016 W45,,,,,,,,,,,
1A12DE128,2016 W15,2016 W17,2016 W44,2017 W18,,,,,,,,,,
1A12DE128,2016 W15,2016 W17,2016 W44,2017 W18,,,,,,,,,,
1A12DE129,2016 W16,2017 W14,,,,,,,,,,,,
1A12DE13,2016 W16,2016 W18,2017 W13,,,,,,,,,,,
1A12DE130,2017 W16,,,,,,,,,,,,,
1A12DE131,2016 W15,2017 W15,,,,,,,,,,,,
1A12DE132,2016 W41,2017 W17,,,,,,,,,,,,
1A12DE133,2016 W42,2016 W43,2016 W46,2017 W11,,,,,,,,,,
1A12DE134,2016 W43,2017 W13,,,,,,,,,,,,
1A12DE135,2016 W15,2017 W17,,,,,,,,,,,,
1A12DE136,2016 W15,2016 W16,2016 W17,2016 W18,2016 W40,2016 W41,2016 W42,2016 W43,2016 W46,2016 W47,2017 W17,2017 W20,,
1A12DE137,2016 W41,2016 W43,2017 W13,,,,,,,,,,,
1A12DE138,2016 W41,,,,,,,,,,,,,
1A12DE139,,,,,,,,,,,,,,
1A12DE14,2016 W17,2016 W23,2016 W41,2016 W42,2017 W15,,,,,,,,,
1A12DE140,2016 W46,2017 W17,,,,,,,,,,,,
1A12DE141,2017 W13,,,,,,,,,,,,,
1A12DE143,2017 W17,,,,,,,,,,,,,
1A12DE144,2016 W45,2016 W46,2017 W18,,,,,,,,,,,
1A12DE145,2016 W46,2016 W47,2017 W14,,,,,,,,,,,
1A12DE146,2016 W45,2016 W46,2017 W14,,,,,,,,,,,
1A12DE147,2016 W15,,,,,,,,,,,,,
1A12DE148,2017 W15,,,,,,,,,,,,,
1A12DE149,2016 W44,2016 W46,,,,,,,,,,,,
1A12DE15,2016 W14,2016 W15,2016 W18,2017 W15,,,,,,,,,,
1A12DE150,2016 W43,2017 W12,,,,,,,,,,,,
1A12DE152,2017 W20,,,,,,,,,,,,,
1A12DE153,2016 W42,2017 W13,2017 W14,,,,,,,,,,,
1A12DE154,2017 W17,,,,,,,,,,,,,
1A12DE155,2016 W14,2016 W16,2016 W43,2016 W47,2017 W13,,,,,,,,,
1A12DE156,2016 W43,,,,,,,,,,,,,
1A12DE157,2016 W46,2017 W13,,,,,,,,,,,,
1A12DE158,2016 W14,2016 W16,,,,,,,,,,,,
1A12DE159,2016 W15,2017 W14,,,,,,,,,,,,
1A12DE16,2016 W17,2017 W18,2017 W19,,,,,,,,,,,
1A12DE160,2016 W41,2017 W13,,,,,,,,,,,,
1A12DE161,2017 W13,2017 W19,2017 W20,,,,,,,,,,,
1A12DE162,2017 W12,,,,,,,,,,,,,
1A12DE163,2016 W45,2016 W46,2016 W47,2017 W14,,,,,,,,,,
1A12DE164,2017 W14,,,,,,,,,,,,,
1A12DE166,2017 W12,2017 W19,,,,,,,,,,,,
1A12DE167,2017 W14,,,,,,,,,,,,,
1A12DE168,2016 W20,2016 W45,2016 W46,2016 W47,,,,,,,,,,
1A12DE169,2016 W42,,,,,,,,,,,,,
1A12DE17,2016 W17,2016 W44,2017 W18,,,,,,,,,,,
1A12DE170,2016 W40,2017 W15,,,,,,,,,,,,
1A12DE171,2016 W46,2017 W14,,,,,,,,,,,,
1A12DE172,2016 W41,2016 W42,2016 W43,2016 W44,2016 W45,2016 W46,2017 W11,,,,,,,
1A12DE173,2017 W18,,,,,,,,,,,,,
1A12DE174,2016 W13,2017 W16,,,,,,,,,,,,
1A12DE175,,,,,,,,,,,,,,
1A12DE176,2016 W18,2017 W17,,,,,,,,,,,,
1A12DE177,2017 W12,,,,,,,,,,,,,
1A12DE178,2016 W45,2017 W18,,,,,,,,,,,,
1A12DE179,2016 W18,2017 W16,,,,,,,,,,,,
1A12DE18,2016 W13,2016 W14,,,,,,,,,,,,
1A12DE180,2016 W19,2017 W14,,,,,,,,,,,,
1A12DE182,2016 W41,,,,,,,,,,,,,
1A12DE183,2016 W41,2017 W13,,,,,,,,,,,,
1A12DE184,2017 W14,,,,,,,,,,,,,
1A12DE185,2017 W14,2017 W20,,,,,,,,,,,,
1A12DE186,2016 W45,2017 W13,2017 W19,,,,,,,,,,,
1A12DE188,2017 W13,,,,,,,,,,,,,
1A12DE189,2016 W14,2016 W16,2016 W43,2016 W44,2017 W13,,,,,,,,,
1A12DE19,2016 W15,2016 W16,2016 W44,2017 W16,,,,,,,,,,
1A12DE190,2016 W16,2016 W43,2016 W44,2016 W46,2016 W47,2017 W14,2017 W19,,,,,,,
1A12DE191,2016 W47,2017 W16,2017 W19,2017 W20,,,,,,,,,,
1A12DE192,2016 W13,2016 W14,2016 W41,2016 W43,2017 W11,,,,,,,,,
1A12DE193,2016 W17,,,,,,,,,,,,,
1A12DE194,2016 W15,2016 W43,2016 W44,,,,,,,,,,,
1A12DE195,2016 W47,,,,,,,,,,,,,
1A12DE197,2016 W45,2016 W47,2017 W18,,,,,,,,,,,
1A12DE198,2016 W14,2016 W17,2016 W18,2017 W12,,,,,,,,,,
1A12DE199,2016 W43,2017 W18,,,,,,,,,,,,
1A12DE20,2016 W18,2016 W19,2016 W46,,,,,,,,,,,
1A12DE200,2016 W14,2016 W15,2016 W17,2016 W18,2016 W44,,,,,,,,,
1A12DE201,2016 W44,2017 W15,,,,,,,,,,,,
1A12DE202,2016 W47,2017 W16,2017 W19,2017 W20,,,,,,,,,,
1A12DE203,2016 W44,2016 W45,2016 W46,2017 W12,,,,,,,,,,
1A12DE204,2016 W40,,,,,,,,,,,,,
1A12DE205,2016 W45,,,,,,,,,,,,,
1A12DE206,2016 W15,2016 W24,2016 W45,,,,,,,,,,,
1A12DE207,2016 W14,2016 W15,2016 W16,2016 W17,2016 W41,2016 W43,2017 W14,,,,,,,
1A12DE208,2017 W14,2017 W19,,,,,,,,,,,,
1A12DE209,2017 W17,2017 W19,,,,,,,,,,,,
1A12DE21,2016 W17,2017 W14,,,,,,,,,,,,
1A12DE210,2016 W44,,,,,,,,,,,,,
1A12DE211,,,,,,,,,,,,,,
1A12DE212,2016 W16,2016 W17,2016 W18,2017 W16,,,,,,,,,,
1A12DE213,2016 W16,2017 W13,,,,,,,,,,,,
1A12DE215,2017 W18,,,,,,,,,,,,,
1A12DE216,2017 W15,,,,,,,,,,,,,
1A12DE217,2017 W15,,,,,,,,,,,,,
