,time_stamp,pod_id,weekly_rf,prev_weekly_rf
26,9/26/16,22,3.302000105,0
27,10/3/16,22,10.15999997,3.302000105
28,10/10/16,22,0,10.15999997
29,10/17/16,22,16.00200051,0
30,10/24/16,22,2.032000064,16.00200051
31,10/31/16,22,3.556000114,2.032000064
32,11/7/16,22,3.302000105,3.556000114
33,11/14/16,22,27.68600113,3.302000105
34,11/21/16,22,68.07200081,27.68600113
35,11/28/16,22,9.39800024,68.07200081
36,12/5/16,22,2.032000124,9.39800024
37,12/12/16,22,0.254000008,2.032000124
38,12/19/16,22,0,0.254000008
39,12/26/16,22,0,0
104,9/26/16,72,0,0
105,10/3/16,72,0,0
106,10/10/16,72,0,0
107,10/17/16,72,0,0
108,10/24/16,72,6.604000092,0
109,10/31/16,72,21.58999997,6.604000092
110,11/7/16,72,10.16000027,21.58999997
111,11/14/16,72,44.70400131,10.16000027
112,11/21/16,72,56.89600169,44.70400131
113,11/28/16,72,11.17600036,56.89600169
114,12/5/16,72,1.27000004,11.17600036
115,12/12/16,72,0,1.27000004
116,12/19/16,72,0,0
117,12/26/16,72,0,0
182,9/26/16,79,0,0
183,10/3/16,79,0,0
184,10/10/16,79,0,0
185,10/17/16,79,8.636000097,0
186,10/24/16,79,71.62800407,8.636000097
187,10/31/16,79,0,71.62800407
188,11/7/16,79,0.762000024,0
189,11/14/16,79,22.60600078,0.762000024
190,11/21/16,79,14.73200047,22.60600078
191,11/28/16,79,23.87600094,14.73200047
192,12/5/16,79,2.794000089,23.87600094
193,12/12/16,79,0,2.794000089
194,12/19/16,79,0,0
195,12/26/16,79,0,0
260,9/26/16,86,7.366000056,0
261,10/3/16,86,32.00400096,7.366000056
262,10/10/16,86,2.032000065,32.00400096
263,10/17/16,86,21.33600098,2.032000065
264,10/24/16,86,19.05000061,21.33600098
265,10/31/16,86,0,19.05000061
266,11/7/16,86,0.254000008,0
267,11/14/16,86,1.524000048,0.254000008
268,11/21/16,86,8.12800026,1.524000048
269,11/28/16,86,0.254000008,8.12800026
270,12/5/16,86,0,0.254000008
271,12/12/16,86,0.254000008,0
272,12/19/16,86,0,0.254000008
273,12/26/16,86,0,0
338,9/26/16,87,5.080000103,0
339,10/3/16,87,5.333999932,5.080000103
340,10/10/16,87,0,5.333999932
341,10/17/16,87,1.778000056,0
342,10/24/16,87,0.508000016,1.778000056
343,10/31/16,87,2.032000065,0.508000016
344,11/7/16,87,1.27000004,2.032000065
345,11/14/16,87,26.67000073,1.27000004
346,11/21/16,87,23.11400085,26.67000073
347,11/28/16,87,3.048000097,23.11400085
348,12/5/16,87,1.270000041,3.048000097
349,12/12/16,87,0,1.270000041
350,12/19/16,87,0,0
351,12/26/16,87,0,0
416,9/26/16,88,5.334000111,0
