,time_stamp,pod_id,weekly_rf,prev_weekly_rf
417,10/3/16,88,11.17599994,5.334000111
418,10/10/16,88,0,11.17599994
419,10/17/16,88,6.604000211,0
420,10/24/16,88,2.540000022,6.604000211
421,10/31/16,88,2.794000089,2.540000022
422,11/7/16,88,2.540000081,2.794000089
423,11/14/16,88,42.16400117,2.540000081
424,11/21/16,88,63.50000179,42.16400117
425,11/28/16,88,7.874000132,63.50000179
426,12/5/16,88,1.016000032,7.874000132
427,12/12/16,88,0.762000024,1.016000032
428,12/19/16,88,0,0.762000024
429,12/26/16,88,0,0
494,9/26/16,90,0,0
495,10/3/16,90,6.858000278,0
496,10/10/16,90,0,6.858000278
497,10/17/16,90,22.35200023,0
498,10/24/16,90,18.28800017,22.35200023
499,10/31/16,90,3.302000105,18.28800017
500,11/7/16,90,9.652000308,3.302000105
501,11/14/16,90,14.73200041,9.652000308
502,11/21/16,90,34.54400068,14.73200041
503,11/28/16,90,20.32000029,34.54400068
504,12/5/16,90,0.508000016,20.32000029
505,12/12/16,90,0.508000016,0.508000016
506,12/19/16,90,2.032000065,0.508000016
507,12/26/16,90,0,2.032000065
572,9/26/16,93,25.14600069,0
573,10/3/16,93,41.91000128,25.14600069
574,10/10/16,93,0.508000016,41.91000128
575,10/17/16,93,10.92200035,0.508000016
576,10/24/16,93,31.49600142,10.92200035
577,10/31/16,93,5.080000102,31.49600142
578,11/7/16,93,14.73200047,5.080000102
579,11/14/16,93,13.71600044,14.73200047
580,11/21/16,93,65.0240016,13.71600044
581,11/28/16,93,22.60600078,65.0240016
582,12/5/16,93,1.778000057,22.60600078
583,12/12/16,93,4.06400001,1.778000057
584,12/19/16,93,0,4.06400001
585,12/26/16,93,0,0
650,9/26/16,96,9.144000232,0
651,10/3/16,96,11.43000007,9.144000232
652,10/10/16,96,0.254000008,11.43000007
653,10/17/16,96,10.16000044,0.254000008
654,10/24/16,96,13.20800036,10.16000044
655,10/31/16,96,4.826000034,13.20800036
656,11/7/16,96,20.57400077,4.826000034
657,11/14/16,96,14.4780004,20.57400077
658,11/21/16,96,55.88000053,14.4780004
659,11/28/16,96,20.06600028,55.88000053
660,12/5/16,96,0.254000008,20.06600028
661,12/12/16,96,0.508000016,0.254000008
662,12/19/16,96,0.762000024,0.508000016
663,12/26/16,96,0,0.762000024
728,9/26/16,97,18.79600072,0
729,10/3/16,97,18.28800052,18.79600072
730,10/10/16,97,0.508000016,18.28800052
731,10/17/16,97,3.048000097,0.508000016
732,10/24/16,97,0,3.048000097
733,10/31/16,97,9.398000061,0
734,11/7/16,97,7.620000243,9.398000061
735,11/14/16,97,1.524000048,7.620000243
736,11/21/16,97,42.16400164,1.524000048
737,11/28/16,97,20.57400054,42.16400164
738,12/5/16,97,0,20.57400054
739,12/12/16,97,0.508000016,0
740,12/19/16,97,0.508000016,0.508000016
741,12/26/16,97,0,0.508000016
