UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE544,2016 W34,2016 W35,2016 W36,2016 W38,,,,,,,
1A12DE545,2016 W11,,,,,,,,,,
1A12DE546,2016 W43,2016 W44,,,,,,,,,
1A12DE547,2016 W44,,,,,,,,,,
1A12DE548,,,,,,,,,,,
1A12DE549,2016 W44,,,,,,,,,,
1A12DE550,2016 W08,2016 W09,2016 W10,2016 W11,2016 W12,2016 W37,,,,,
1A12DE551,,,,,,,,,,,
1A12DE552,,,,,,,,,,,
1A12DE553,,,,,,,,,,,
1A12DE554,,,,,,,,,,,
1A12DE555,,,,,,,,,,,
1A12DE556,2016 W35,,,,,,,,,,
1A12DE557,,,,,,,,,,,
1A12DE558,2016 W40,,,,,,,,,,
1A12DE559,,,,,,,,,,,
1A12DE560,2016 W44,,,,,,,,,,
1A12DE561,,,,,,,,,,,
1A12DE562,2016 W26,,,,,,,,,,
1A12DE563,2016 W45,,,,,,,,,,
1A12DE564,2016 W08,2016 W09,2016 W10,2016 W11,2016 W12,2016 W13,2016 W14,,,,
1A12DE565,2016 W36,,,,,,,,,,
1A12DE566,2016 W38,2016 W39,,,,,,,,,
1A12DE567,2016 W38,2016 W39,2016 W40,2016 W41,2016 W42,2016 W43,2016 W44,,,,
1A12DE568,,,,,,,,,,,
1A12DE569,2016 W44,2016 W45,2016 W46,2016 W47,,,,,,,
1A12DE570,,,,,,,,,,,
1A12DE571,2016 W42,2016 W43,,,,,,,,,
1A12DE572,2016 W12,2016 W13,2016 W14,2016 W15,2016 W41,2016 W42,2016 W43,,,,
1A12DE573,,,,,,,,,,,
1A12DE574,,,,,,,,,,,
1A12DE575,,,,,,,,,,,
1A12DE576,,,,,,,,,,,
1A12DE577,2016 W39,,,,,,,,,,
1A12DE578,2016 W41,2016 W42,2016 W43,2016 W44,2016 W45,2016 W46,2016 W47,,,,
1A12DE579,2016 W41,2016 W44,,,,,,,,,
1A12DE580,,,,,,,,,,,
1A12DE581,2016 W43,2016 W46,,,,,,,,,
1A12DE582,,,,,,,,,,,
1A12DE583,2016 W47,,,,,,,,,,
1A12DE584,2016 W42,,,,,,,,,,
