UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE128,2016 W11,2016 W12,2016 W13,,,,,,,,
1A12DE129,2016 W12,2016 W37,,,,,,,,,
1A12DE130,2016 W47,,,,,,,,,,
1A12DE131,2016 W11,2016 W14,2016 W36,,,,,,,,
1A12DE132,,,,,,,,,,,
1A12DE133,,,,,,,,,,,
1A12DE134,2016 W38,2016 W39,2016 W41,2016 W42,,,,,,,
1A12DE135,,,,,,,,,,,
1A12DE136,,,,,,,,,,,
1A12DE137,2016 W37,2016 W38,,,,,,,,,
1A12DE138,2016 W38,,,,,,,,,,
1A12DE139,2016 W09,,,,,,,,,,
1A12DE140,,,,,,,,,,,
1A12DE141,2016 W08,2016 W10,2016 W38,,,,,,,,
1A12DE142,2016 W46,,,,,,,,,,
1A12DE143,,,,,,,,,,,
1A12DE144,2016 W44,,,,,,,,,,
1A12DE145,2016 W41,2016 W43,2016 W44,,,,,,,,
1A12DE146,2016 W34,,,,,,,,,,
1A12DE147,,,,,,,,,,,
1A12DE148,,,,,,,,,,,
1A12DE149,2016 W21,2016 W23,2016 W24,2016 W42,,,,,,,
1A12DE150,,,,,,,,,,,
1A12DE151,,,,,,,,,,,
1A12DE152,2016 W45,,,,,,,,,,
1A12DE153,,,,,,,,,,,
1A12DE154,,,,,,,,,,,
1A12DE155,2016 W11,2016 W37,2016 W38,2016 W40,,,,,,,
1A12DE156,2016 W23,2016 W24,2017 W26,,,,,,,,
1A12DE157,,,,,,,,,,,
1A12DE158,,,,,,,,,,,
1A12DE159,2016 W41,,,,,,,,,,
1A12DE160,2016 W36,2016 W37,,,,,,,,,
1A12DE161,2016 W42,2016 W43,,,,,,,,,
1A12DE162,2016 W38,2016 W43,,,,,,,,,
1A12DE163,2016 W41,2016 W44,,,,,,,,,
1A12DE164,2016 W44,,,,,,,,,,
1A12DE165,2017 W04,,,,,,,,,,
1A12DE166,,,,,,,,,,,
1A12DE167,2016 W36,,,,,,,,,,
1A12DE168,2016 W16,2016 W19,,,,,,,,,
1A12DE169,,,,,,,,,,,
1A12DE170,,,,,,,,,,,
1A12DE171,2016 W43,2016 W44,2016 W45,,,,,,,,
1A12DE172,2016 W38,,,,,,,,,,
1A12DE173,2016 W44,2016 W46,,,,,,,,,
1A12DE174,,,,,,,,,,,
1A12DE175,2016 W17,2016 W21,,,,,,,,,
1A12DE176,,,,,,,,,,,
1A12DE177,2016 W47,,,,,,,,,,
1A12DE178,2016 W37,,,,,,,,,,
1A12DE179,2016 W14,,,,,,,,,,
1A12DE180,,,,,,,,,,,
1A12DE181,2016 W41,,,,,,,,,,
1A12DE182,2016 W39,,,,,,,,,,
1A12DE183,2016 W12,2016 W34,2016 W36,2016 W37,2016 W38,,,,,,
1A12DE184,2016 W46,,,,,,,,,,
1A12DE185,,,,,,,,,,,
1A12DE186,,,,,,,,,,,
1A12DE187,,,,,,,,,,,
1A12DE188,2016 W41,,,,,,,,,,
1A12DE189,2016 W10,2016 W12,2016 W36,2016 W38,,,,,,,
1A12DE190,2016 W13,2016 W38,2016 W39,,,,,,,,
1A12DE191,,,,,,,,,,,
1A12DE192,2016 W36,2016 W37,,,,,,,,,
1A12DE193,,,,,,,,,,,
1A12DE194,2016 W17,2016 W25,,,,,,,,,
1A12DE195,2016 W11,2016 W12,2016 W13,,,,,,,,
1A12DE196,2016 W23,2016 W30,,,,,,,,,
1A12DE197,,,,,,,,,,,
1A12DE198,,,,,,,,,,,
1A12DE199,2016 W39,,,,,,,,,,
1A12DE200,2016 W12,2016 W16,,,,,,,,,
1A12DE201,,,,,,,,,,,
1A12DE202,,,,,,,,,,,
1A12DE203,,,,,,,,,,,
1A12DE204,2016 W20,2016 W22,2016 W24,2016 W25,2016 W26,2016 W28,2017 W25,,,,
1A12DE205,2016 W16,2016 W18,2016 W21,2016 W22,2016 W23,2016 W24,2016 W26,2016 W27,,,
1A12DE206,2016 W19,2016 W21,2016 W22,,,,,,,,
1A12DE207,2016 W37,,,,,,,,,,
1A12DE208,2016 W42,2016 W44,2016 W45,,,,,,,,
1A12DE209,2016 W45,,,,,,,,,,
1A12DE210,2016 W17,2016 W20,2016 W24,,,,,,,,
1A12DE211,,,,,,,,,,,
1A12DE212,2016 W39,,,,,,,,,,
1A12DE213,2016 W08,2016 W09,2016 W11,2016 W12,2016 W13,2016 W34,2016 W35,2016 W36,2016 W37,2016 W38,2016 W39
1A12DE214,2016 W10,,,,,,,,,,
1A12DE215,2016 W47,,,,,,,,,,
1A12DE216,,,,,,,,,,,
1A12DE217,,,,,,,,,,,
1A12DE218,2016 W13,2016 W34,2016 W36,2016 W37,2016 W38,2016 W39,2016 W40,,,,
1A12DE219,,,,,,,,,,,
1A12DE220,2016 W32,2016 W36,,,,,,,,,
1A12DE221,2016 W41,,,,,,,,,,
1A12DE222,,,,,,,,,,,
1A12DE223,,,,,,,,,,,
1A12DE224,2016 W26,2016 W27,2016 W28,2016 W34,,,,,,,
1A12DE225,2016 W14,2016 W43,,,,,,,,,
1A12DE226,2016 W37,2016 W38,,,,,,,,,
1A12DE227,2016 W38,2016 W39,2016 W42,,,,,,,,
1A12DE228,,,,,,,,,,,
1A12DE229,,,,,,,,,,,
1A12DE230,2016 W19,2016 W22,2016 W28,,,,,,,,
1A12DE231,2016 W19,2016 W23,2016 W24,,,,,,,,
1A12DE232,2016 W11,2016 W13,2016 W14,2016 W38,2016 W39,,,,,,
1A12DE233,2016 W37,2016 W39,,,,,,,,,
1A12DE234,2016 W37,2016 W38,,,,,,,,,
1A12DE235,2016 W22,2016 W23,,,,,,,,,
1A12DE236,2016 W39,,,,,,,,,,
1A12DE237,2016 W24,2016 W26,,,,,,,,,
1A12DE238,,,,,,,,,,,
1A12DE239,,,,,,,,,,,
1A12DE240,2016 W45,,,,,,,,,,
1A12DE241,2016 W13,2016 W38,2016 W40,,,,,,,,
1A12DE242,,,,,,,,,,,
1A12DE243,,,,,,,,,,,
1A12DE244,,,,,,,,,,,
1A12DE245,2016 W16,2016 W19,2016 W20,2016 W21,2016 W22,2016 W23,2016 W25,,,,
1A12DE246,2016 W41,,,,,,,,,,
1A12DE247,,,,,,,,,,,
1A12DE248,2016 W11,2016 W36,2016 W37,2016 W38,2016 W42,2016 W43,,,,,
1A12DE249,2016 W08,2016 W09,,,,,,,,,
1A12DE250,2016 W44,,,,,,,,,,
1A12DE251,,,,,,,,,,,
1A12DE252,2016 W12,2016 W36,2016 W37,,,,,,,,
1A12DE253,2016 W12,2016 W38,,,,,,,,,
1A12DE254,2016 W46,,,,,,,,,,
1A12DE255,2016 W08,2016 W30,,,,,,,,,
1A12DE256,2016 W38,2016 W39,2016 W40,2016 W41,2016 W42,2016 W44,,,,,
1A12DE257,,,,,,,,,,,
1A12DE258,,,,,,,,,,,
1A12DE259,,,,,,,,,,,
1A12DE260,2016 W24,2016 W26,,,,,,,,,
1A12DE261,2016 W40,,,,,,,,,,
1A12DE262,,,,,,,,,,,
1A12DE263,2016 W41,2016 W42,2016 W45,,,,,,,,
1A12DE264,,,,,,,,,,,
1A12DE265,2016 W42,2016 W45,2016 W46,,,,,,,,
1A12DE266,2016 W36,2016 W38,2016 W42,2016 W44,2016 W46,,,,,,
1A12DE267,2016 W08,2016 W13,,,,,,,,,
1A12DE268,2016 W44,2016 W46,2016 W47,,,,,,,,
1A12DE269,2016 W14,,,,,,,,,,
1A12DE270,2016 W39,2016 W40,2016 W42,2016 W45,,,,,,,
1A12DE271,2016 W40,,,,,,,,,,
1A12DE272,,,,,,,,,,,
1A12DE273,2016 W44,2016 W45,,,,,,,,,
1A12DE274,2016 W44,2016 W45,,,,,,,,,
1A12DE275,,,,,,,,,,,
1A12DE276,,,,,,,,,,,
1A12DE277,2016 W10,2016 W14,2016 W16,2016 W17,2016 W19,2016 W28,,,,,
1A12DE278,,,,,,,,,,,
1A12DE279,,,,,,,,,,,
1A12DE280,,,,,,,,,,,
1A12DE281,,,,,,,,,,,
1A12DE282,2016 W42,2016 W44,2016 W45,,,,,,,,
1A12DE283,,,,,,,,,,,
1A12DE284,,,,,,,,,,,
1A12DE285,,,,,,,,,,,
1A12DE286,2016 W12,,,,,,,,,,
1A12DE287,2016 W11,2016 W12,2016 W39,2016 W40,,,,,,,
1A12DE288,2016 W37,2016 W40,2016 W41,,,,,,,,
1A12DE289,2016 W42,2016 W43,,,,,,,,,
1A12DE290,2016 W38,2016 W42,,,,,,,,,
1A12DE291,2016 W19,2016 W27,2016 W28,2016 W30,,,,,,,
1A12DE292,2017 W04,,,,,,,,,,
1A12DE293,2016 W38,,,,,,,,,,
1A12DE294,,,,,,,,,,,
1A12DE295,,,,,,,,,,,
1A12DE296,2016 W11,,,,,,,,,,
1A12DE297,,,,,,,,,,,
1A12DE298,2016 W20,2016 W24,,,,,,,,,
1A12DE299,,,,,,,,,,,
1A12DE300,,,,,,,,,,,
1A12DE301,,,,,,,,,,,
1A12DE302,,,,,,,,,,,
1A12DE303,,,,,,,,,,,
1A12DE304,2016 W17,2016 W20,2016 W25,2016 W30,,,,,,,
1A12DE305,2016 W12,2016 W19,,,,,,,,,
1A12DE306,2016 W42,2016 W45,,,,,,,,,
1A12DE307,,,,,,,,,,,
1A12DE308,2016 W40,2016 W41,2016 W42,2016 W43,2016 W44,,,,,,
1A12DE309,2016 W38,2016 W44,,,,,,,,,
1A12DE310,2016 W39,,,,,,,,,,
1A12DE311,2016 W34,2016 W36,2016 W38,2016 W39,,,,,,,
1A12DE312,2016 W40,2016 W42,,,,,,,,,
1A12DE313,,,,,,,,,,,
1A12DE314,2016 W10,2016 W12,2016 W15,,,,,,,,
1A12DE315,2016 W39,2016 W40,,,,,,,,,
1A12DE316,2016 W11,2016 W14,2016 W15,2016 W38,2016 W39,,,,,,
1A12DE317,2016 W43,,,,,,,,,,
1A12DE318,2016 W42,,,,,,,,,,
1A12DE319,2016 W41,,,,,,,,,,
1A12DE320,,,,,,,,,,,
1A12DE321,,,,,,,,,,,
1A12DE322,2016 W11,2016 W13,2016 W14,2016 W18,2016 W23,2016 W24,2016 W26,2016 W27,2016 W28,,
1A12DE323,2016 W38,,,,,,,,,,
1A12DE324,,,,,,,,,,,
1A12DE325,2016 W42,,,,,,,,,,
1A12DE326,,,,,,,,,,,
1A12DE327,,,,,,,,,,,
1A12DE328,2016 W44,,,,,,,,,,
1A12DE329,2016 W42,2016 W45,,,,,,,,,
1A12DE330,,,,,,,,,,,
1A12DE331,2016 W10,2016 W11,2016 W13,,,,,,,,
1A12DE332,,,,,,,,,,,
1A12DE333,2016 W37,2016 W39,,,,,,,,,
1A12DE334,2016 W40,,,,,,,,,,
1A12DE335,2016 W42,,,,,,,,,,
1A12DE336,,,,,,,,,,,
1A12DE337,,,,,,,,,,,
1A12DE338,,,,,,,,,,,
1A12DE339,2016 W37,2016 W39,2016 W41,2016 W42,,,,,,,
